"distid","X2014_eradication","X2015_eradication","X2016_eradication"
101,NA,NA,NA
102,NA,NA,NA
103,NA,NA,NA
104,NA,NA,NA
105,NA,NA,NA
106,NA,NA,NA
107,NA,NA,NA
108,NA,NA,NA
109,NA,NA,NA
110,NA,NA,NA
111,NA,NA,NA
112,NA,NA,NA
113,NA,NA,NA
114,NA,NA,NA
115,NA,NA,NA
201,NA,NA,NA
202,NA,NA,NA
203,NA,NA,NA
204,NA,NA,NA
205,26,NA,NA
206,NA,NA,NA
207,NA,NA,NA
301,NA,NA,NA
302,NA,NA,NA
303,NA,NA,NA
304,NA,NA,NA
305,NA,NA,NA
306,NA,NA,NA
307,NA,NA,NA
308,NA,NA,NA
309,NA,NA,NA
310,NA,NA,NA
401,NA,NA,NA
402,NA,NA,NA
403,NA,NA,NA
404,NA,NA,NA
405,NA,NA,NA
406,NA,NA,NA
407,NA,NA,NA
408,NA,NA,NA
409,NA,NA,NA
501,NA,NA,NA
502,NA,NA,NA
503,NA,NA,NA
504,NA,NA,NA
505,NA,NA,NA
506,NA,NA,NA
507,NA,NA,NA
601,NA,NA,NA
602,NA,NA,NA
603,NA,NA,NA
604,NA,NA,NA
605,NA,NA,NA
606,NA,NA,NA
607,NA,NA,NA
608,NA,NA,NA
609,NA,NA,NA
610,NA,NA,NA
611,NA,NA,NA
612,NA,NA,NA
613,NA,NA,NA
614,NA,NA,NA
615,NA,NA,NA
616,NA,NA,NA
617,NA,NA,NA
618,NA,NA,NA
619,NA,NA,NA
701,NA,NA,NA
702,NA,NA,NA
703,NA,NA,NA
704,NA,NA,NA
705,NA,NA,NA
706,NA,NA,NA
707,NA,NA,NA
708,NA,NA,NA
709,NA,NA,NA
710,NA,NA,NA
711,NA,NA,NA
801,NA,NA,NA
802,NA,NA,1
803,NA,NA,NA
804,NA,NA,NA
805,NA,17,NA
806,NA,NA,NA
807,NA,NA,NA
808,NA,30,NA
809,NA,18,NA
810,23,38,NA
811,11,NA,NA
812,NA,NA,NA
813,NA,26,NA
814,NA,5,NA
815,NA,NA,NA
816,NA,NA,NA
817,NA,3,NA
818,NA,NA,NA
819,NA,NA,NA
820,NA,NA,NA
821,NA,NA,NA
822,NA,NA,NA
901,NA,NA,3
902,NA,7,NA
903,NA,NA,NA
904,1,NA,NA
905,NA,NA,NA
1001,NA,NA,NA
1002,NA,NA,NA
1003,NA,NA,NA
1004,NA,NA,NA
1005,NA,NA,NA
1006,2,NA,NA
1007,24,NA,NA
1008,17,1,NA
1009,NA,NA,NA
1010,NA,NA,NA
1011,6,NA,NA
1012,1,NA,NA
1013,7,NA,NA
1014,NA,NA,NA
1015,18,8,NA
1101,NA,NA,NA
1102,126,118,67
1103,9,7,NA
1104,NA,NA,NA
1105,NA,NA,NA
1106,NA,NA,NA
1107,NA,NA,NA
1108,NA,NA,NA
1109,NA,NA,NA
1110,NA,NA,NA
1111,NA,NA,NA
1112,NA,NA,NA
1113,NA,NA,NA
1114,NA,9,NA
1115,680,761,113
1116,171,72,22
1117,NA,NA,NA
1118,64,20,NA
1119,NA,NA,NA
1120,NA,NA,NA
1121,NA,NA,NA
1122,NA,NA,NA
1123,NA,NA,NA
1124,350,258,68
1125,NA,NA,NA
1126,11,NA,NA
1127,NA,NA,NA
1128,NA,NA,NA
1201,NA,NA,NA
1202,NA,NA,NA
1203,NA,NA,21
1204,NA,NA,NA
1205,NA,NA,NA
1206,NA,NA,NA
1207,NA,NA,NA
1208,1,12,NA
1209,NA,NA,NA
1210,NA,NA,NA
1211,NA,NA,NA
1212,NA,NA,NA
1213,NA,NA,NA
1214,NA,NA,NA
1215,NA,NA,NA
1216,NA,NA,NA
1217,NA,NA,NA
1301,NA,NA,NA
1302,1,NA,NA
1303,NA,NA,NA
1304,NA,NA,NA
1305,NA,NA,NA
1306,NA,NA,NA
1307,NA,NA,NA
1308,NA,NA,NA
1309,NA,NA,NA
1310,3,NA,NA
1311,NA,NA,NA
1312,NA,NA,NA
1313,NA,NA,NA
1314,NA,NA,NA
1315,NA,NA,NA
1401,1,NA,NA
1402,NA,NA,NA
1403,7,NA,NA
1404,NA,NA,NA
1405,NA,NA,NA
1406,NA,NA,NA
1407,NA,NA,NA
1501,NA,NA,NA
1502,NA,NA,NA
1503,NA,NA,NA
1504,NA,NA,NA
1505,NA,NA,NA
1506,NA,NA,NA
1507,NA,NA,NA
1601,NA,NA,NA
1602,NA,NA,NA
1603,NA,NA,NA
1604,NA,NA,NA
1605,NA,NA,NA
1606,NA,NA,NA
1607,NA,NA,NA
1608,35,NA,NA
1609,NA,NA,NA
1610,NA,NA,NA
1611,NA,NA,NA
1612,NA,NA,NA
1613,NA,NA,NA
1614,NA,NA,NA
1615,NA,NA,NA
1701,NA,NA,NA
1702,NA,NA,NA
1703,NA,NA,NA
1704,NA,NA,NA
1705,NA,NA,NA
1706,NA,NA,NA
1707,NA,NA,NA
1708,NA,NA,NA
1709,NA,NA,NA
1710,NA,NA,NA
1711,NA,NA,NA
1801,NA,NA,NA
1802,NA,NA,NA
1803,NA,NA,NA
1804,NA,NA,NA
1805,NA,NA,NA
1806,NA,NA,NA
1807,10,NA,NA
1808,NA,NA,NA
1809,NA,NA,NA
1810,NA,NA,NA
1811,NA,NA,NA
1812,NA,NA,NA
1813,NA,NA,NA
1814,NA,NA,NA
1901,NA,NA,NA
1902,NA,NA,NA
1903,NA,NA,NA
1904,NA,NA,NA
1905,NA,NA,NA
1906,NA,NA,NA
1907,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,NA,NA,NA
2012,NA,NA,NA
2013,NA,NA,NA
2014,NA,NA,NA
2015,NA,NA,NA
2016,NA,NA,NA
2101,NA,7,NA
2102,NA,NA,NA
2103,NA,NA,NA
2104,NA,NA,NA
2105,NA,NA,NA
2106,NA,NA,NA
2107,NA,NA,NA
2108,NA,NA,NA
2109,NA,NA,NA
2110,NA,NA,NA
2111,NA,45,NA
2201,NA,NA,NA
2202,NA,NA,NA
2203,NA,40,NA
2204,NA,NA,NA
2205,NA,NA,1
2301,193,413,NA
2302,57,45,NA
2303,NA,NA,NA
2304,60,84,NA
2305,NA,NA,NA
2306,7,NA,NA
2307,NA,NA,NA
2308,174,522,NA
2309,13,237,NA
2310,NA,NA,NA
2311,211,283,NA
2312,25,NA,NA
2313,48,163,NA
2401,NA,NA,NA
2402,NA,NA,NA
2403,NA,NA,NA
2404,NA,1,NA
2405,NA,NA,NA
2406,NA,NA,NA
2407,68,144,1
2408,NA,72,0.1
2409,NA,NA,NA
2410,NA,NA,NA
2411,NA,NA,NA
2412,NA,NA,NA
2413,NA,NA,NA
2414,NA,NA,NA
2415,NA,NA,NA
2416,NA,180,3
2501,NA,NA,NA
2502,NA,NA,NA
2503,NA,NA,NA
2504,NA,NA,NA
2505,9,NA,NA
2506,3,NA,NA
2507,NA,NA,NA
2508,NA,NA,NA
2509,NA,NA,NA
2510,NA,NA,NA
2511,NA,NA,NA
2601,158,51,NA
2602,5,4,NA
2603,NA,NA,NA
2604,NA,12,NA
2605,NA,9,NA
2701,7,NA,NA
2702,NA,NA,NA
2703,NA,NA,NA
2704,NA,NA,NA
2705,NA,NA,NA
2706,NA,NA,NA
2707,NA,NA,NA
2708,NA,NA,NA
2709,1,NA,NA
2710,NA,NA,NA
2801,NA,NA,NA
2802,NA,NA,NA
2803,NA,NA,NA
2804,NA,NA,NA
2805,NA,NA,NA
2806,NA,NA,NA
2807,NA,NA,NA
2901,NA,NA,NA
2902,NA,NA,NA
2903,NA,NA,NA
2904,NA,NA,NA
2905,NA,NA,NA
2906,NA,NA,NA
2907,NA,NA,NA
2908,NA,NA,NA
2909,NA,NA,NA
2910,NA,NA,NA
2911,NA,NA,NA
2912,NA,NA,NA
2913,NA,NA,NA
2914,NA,NA,NA
2915,NA,NA,NA
2916,NA,NA,NA
2917,NA,NA,NA
2918,NA,NA,NA
2919,NA,NA,NA
3001,NA,NA,NA
3002,NA,NA,NA
3003,NA,NA,NA
3004,NA,NA,NA
3005,NA,NA,NA
3006,NA,NA,NA
3007,NA,NA,NA
3008,NA,NA,NA
3101,NA,NA,20
3102,NA,NA,NA
3103,NA,NA,NA
3104,NA,NA,NA
3105,NA,NA,NA
3106,43,33,35
3107,NA,NA,NA
3201,NA,NA,NA
3202,NA,NA,NA
3203,NA,NA,NA
3204,NA,NA,NA
3205,NA,NA,NA
3206,NA,NA,NA
3207,NA,NA,NA
3208,NA,NA,NA
3209,NA,NA,NA
3210,NA,NA,NA
3211,NA,NA,NA
3212,NA,NA,NA
3213,NA,NA,NA
3301,NA,NA,NA
3302,NA,NA,NA
3303,NA,NA,NA
3304,NA,NA,NA
3305,NA,NA,NA
3306,NA,NA,NA
3307,NA,NA,NA
3401,NA,NA,NA
3402,NA,NA,NA
3403,NA,NA,NA
3404,6,5,NA
3405,NA,NA,NA
3406,NA,NA,NA
3407,NA,NA,NA
3408,NA,NA,NA
3409,NA,NA,NA
